S. 5059,https://www.congress.gov/bill/117th-congress/senate-bill/5059,"A bill to improve the pilot program on acceptance by the Department of Veterans Affairs of donated facilities and related improvements to account for issues relating to inflation, and for other purposes.","Lankford, James","Fischer, Deb","Inhofe, James M.",,,,Armed Forces and National Security,,,,
S. 5002,https://www.congress.gov/bill/117th-congress/senate-bill/5002,A bill to allow for alternatives to animal testing for purposes of drug and biological product applications.,"Paul, Rand","Braun, Mike","Booker, Cory A.","Scott, Rick","Lujan, Ben Ray","Tuberville, Tommy",Health,,,,
S. 4900,https://www.congress.gov/bill/117th-congress/senate-bill/4900,SBIR and STTR Extension Act of 2022,"Cardin, Benjamin L.","Ernst, Joni",,,,,Commerce,China,Congressional oversight,Europe,Foreign and international corporations
S. 4899,https://www.congress.gov/bill/117th-congress/senate-bill/4899,IMPROVE Act,"Portman, Rob","Brown, Sherrod",,,,,Health,Religion,Medicare,Infectious and parasitic diseases,Immunology and vaccination
S. 4885,https://www.congress.gov/bill/117th-congress/senate-bill/4885,Kevin and Avonte's Law Reauthorization Act of 2022,"Grassley, Chuck","Tillis, Thomas","Schumer, Charles E.","Klobuchar, Amy",,,Crime and Law Enforcement,Congressional oversight,Health programs administration and funding,Hereditary and development disorders,Law enforcement administration and funding
S. 4791,https://www.congress.gov/bill/117th-congress/senate-bill/4791,"A bill to amend section 301 of title 44, United States Code, to establish a term for the appointment of the Director of the Government Publishing Office.","Blunt, Roy",,,,,,Government Operations and Politics,Congressional agencies,Congressional officers and employees,Federal officials,Government Publishing Office (GPO)
S. 4785,https://www.congress.gov/bill/117th-congress/senate-bill/4785,A bill to extend by 19 days the authorization for the special assessment for the Domestic Trafficking Victims' Fund.,"Klobuchar, Amy","Cornyn, John",,,,,Crime and Law Enforcement,Assault and harassment offenses,Human trafficking,Government trust funds,Crime victims
S. 4673,https://www.congress.gov/bill/117th-congress/senate-bill/4673,National Computer Forensics Institute Reauthorization Act of 2022,"Grassley, Chuck","Feinstein, Dianne","Hassan, Margaret Wood","Tuberville, Tommy","Whitehouse, Sheldon","Cornyn, John",Crime and Law Enforcement,,,,
S. 4553,https://www.congress.gov/bill/117th-congress/senate-bill/4553,Extension of Department of Homeland Security Other Transaction Authority Act of 2022,"Peters, Gary C.","Portman, Rob",,,,,Government Operations and Politics,,,,
S. 4552,https://www.congress.gov/bill/117th-congress/senate-bill/4552,Extension of Authority to Acquire Innovative Commercial Items Act of 2022,"Peters, Gary C.","Portman, Rob",,,,,Government Operations and Politics,Advanced technology and technological innovations,Public contracts and procurement,Service industries,
S. 4524,https://www.congress.gov/bill/117th-congress/senate-bill/4524,Speak Out Act,"Gillibrand, Kirsten E.","Feinstein, Dianne","Coons, Christopher A.","Padilla, Alex","Grassley, Chuck","Klobuchar, Amy",Law,,,,
S. 4458,https://www.congress.gov/bill/117th-congress/senate-bill/4458,Ensuring the Best Schools for Veterans Act of 2022,"Tester, Jon","Collins, Susan M.","Moran, Jerry","Blackburn, Marsha",,,Armed Forces and National Security,,,,
S. 4359,https://www.congress.gov/bill/117th-congress/senate-bill/4359,Senator Johnny Isakson VA Regional Office Act of 2022,"Ossoff, Jon","Tillis, Thomas","Shaheen, Jeanne","McConnell, Mitch","Schumer, Charles E.","Tester, Jon",Armed Forces and National Security,"Government buildings, facilities, and property",Members of Congress,Georgia,Congressional tributes
S. 4261,https://www.congress.gov/bill/117th-congress/senate-bill/4261,FORMULA Act,"Lee, Mike","Lummis, Cynthia M.","Grassley, Chuck","Wicker, Roger F.","Cassidy, Bill","Daines, Steve",Switzerland,South Africa,Poverty and welfare assistance,Marketing and advertising,Government information and archives
S. 4254,https://www.congress.gov/bill/117th-congress/senate-bill/4254,Disclosing Foreign Influence in Lobbying Act,"Grassley, Chuck","Stabenow, Debbie","Durbin, Richard J.","Cornyn, John","Peters, Gary C.","Sasse, Ben",Government Operations and Politics,,,,
S. 4235,https://www.congress.gov/bill/117th-congress/senate-bill/4235,A bill to amend the Controlled Substances Act to fix a technical error in the definitions.,"Grassley, Chuck","Coons, Christopher A.",,,,,Crime and Law Enforcement,Drug trafficking and controlled substances,,,
S. 4205,https://www.congress.gov/bill/117th-congress/senate-bill/4205,PAW Act,"Peters, Gary C.","Scott, Rick","Portman, Rob",,,,Emergency Management,Government studies and investigations,Government information and archives,Federal Emergency Management Agency (FEMA),Emergency planning and evacuation
S. 4166,https://www.congress.gov/bill/117th-congress/senate-bill/4166,Technological Hazards Preparedness and Training Act of 2022,"Portman, Rob","Sinema, Kyrsten",,,,,Emergency Management,Disaster relief and insurance,Emergency planning and evacuation,Congressional oversight,State and local government operations
S. 4160,https://www.congress.gov/bill/117th-congress/senate-bill/4160,Supreme Court Police Parity Act of 2022,"Cornyn, John","Coons, Christopher A.",,,,,Government Operations and Politics,Family relationships,"Government employee pay, benefits, personnel management",Judges,Law enforcement administration and funding
S. 4119,https://www.congress.gov/bill/117th-congress/senate-bill/4119,RECA Extension Act of 2022,"Lee, Mike","Kelly, Mark","Risch, James E.","Rosen, Jacky","Cortez Masto, Catherine","Lummis, Cynthia M.",Labor and Employment,Worker safety and health,Wyoming,Washington State,Arizona
S. 4089,https://www.congress.gov/bill/117th-congress/senate-bill/4089,Veterans Rapid Retraining Assistance Program Restoration and Recovery Act of 2022,"Durbin, Richard J.",,,,,,Armed Forces and National Security,Higher education,Educational facilities and institutions,"Veterans' education, employment, rehabilitation",Vocational and technical education
S. 4070,https://www.congress.gov/bill/117th-congress/senate-bill/4070,Samya Rose Stumo National Air Grant Fellowship Program Act of 2022,"Cantwell, Maria","Wicker, Roger F.",,,,,Transportation and Public Works,Congressional tributes,Transportation safety and security,Science and engineering education,Higher education
S. 4057,https://www.congress.gov/bill/117th-congress/senate-bill/4057,Strategic EV Management Act of 2022,"Peters, Gary C.","Carper, Thomas R.","Burr, Richard","Romney, Mitt","Hagerty, Bill","Lankford, James",Government Operations and Politics,"Government buildings, facilities, and property","Energy storage, supplies, demand",Congressional oversight,"Hybrid, electric, and advanced technology vehicles"
S. 4007,https://www.congress.gov/bill/117th-congress/senate-bill/4007,Fighting Post-Traumatic Stress Disorder Act of 2022,"Grassley, Chuck","Ossoff, Jon","Blackburn, Marsha","Feinstein, Dianne","Brown, Sherrod","Coons, Christopher A.",Crime and Law Enforcement,Neurological disorders,Mental health,Law enforcement officers,Law enforcement administration and funding
S. 4003,https://www.congress.gov/bill/117th-congress/senate-bill/4003,Law Enforcement De-Escalation Training Act of 2022,"Cornyn, John","Tester, Jon","Hassan, Margaret Wood","Feinstein, Dianne","Tillis, Thomas","Blumenthal, Richard",Crime and Law Enforcement,,,,
S. 3969,https://www.congress.gov/bill/117th-congress/senate-bill/3969,Protection and Advocacy for Voting Access Program Inclusion Act,"Lujan, Ben Ray","Heinrich, Martin","Smith, Tina","Klobuchar, Amy","Blunt, Roy",,Government Operations and Politics,"Elections, voting, political campaign regulation",Disability assistance,Indian social and development programs,U.S. territories and protectorates
S. 3906,https://www.congress.gov/bill/117th-congress/senate-bill/3906,Small Business Broadband and Emerging Information Technology Enhancement Act of 2022,"Shaheen, Jeanne","Markey, Edward J.","Kennedy, John","Ernst, Joni","Hirono, Mazie K.","Risch, James E.","Science, Technology, Communications",Business education,Computers and information technology,"Government employee pay, benefits, personnel management",Small business
S. 3905,https://www.congress.gov/bill/117th-congress/senate-bill/3905,Preventing Organizational Conflicts of Interest in Federal Acquisition Act,"Peters, Gary C.","Hassan, Margaret Wood","Ernst, Joni","Grassley, Chuck",,,Government Operations and Politics,Administrative law and regulatory procedures,"Government ethics and transparency, public corruption",Government information and archives,Public contracts and procurement
