"1","C00075820","M3","15Z","CCM","TEXANS FOR JODEY ARRINGTON","TX",2112022,12500,"C00588657","SA11C.23915400","2022",2022,"NRCC","0"
"2","C00040857","M4","18G","ORG","PHILIP A. HART DEMOCRATIC CLUB","MI",3102021,196,"C00224717","12889798","2021",2022,"OAKLAND COUNTY DEMOCRATIC PARTY","0"
"3","C00104471","M9","18G","PTY","DEMOCRATIC NATIONAL COMMITTEE - DEMOCRATIC GRASSROOTS VICTORY FUND","DC",8252021,12500,"C00658476","12-01-18012-35068","2021",2022,"NEW JERSEY DEMOCRATIC STATE COMMITTEE","0"
"4","C00686832","Q2","18G","PAC","LEAD THE WAY 2022","AZ",6292021,13490,"C00782151","VVBYZSQ55F8","2021",2022,"WAY TO LEAD PAC","0"
"5","C00167346","M7","18G","PTY","DEMOCRATIC NATIONAL COMMITTEE","DC",6252021,2500,"C00010603","11269696","2021",2022,"TENNESSEE DEMOCRATIC PARTY","0"
"6","C00012476","YE","18G","PAC","PLUMBERS LOCAL UNION NO. 24 POLITICAL ACTION COMMITTEE","NJ",12022021,3560,"C00252056","SA12.21815","2021",2022,"UA UNION PLUMBERS & PIPEFITTERS VOTE! PAC (UNITED ASSOCIATION OF JOURNEYMEN AND APPRENTICES OF THE PLUMBING & PIPEFITTING INDUSTRY OF THE UNITED STATES AND CANADA)","0"
"7","C00075820","M11","18G","COM","RUTHERFORD VICTORY FUND","FL",10312021,5000,"C00741413","SA12.23327773","2021",2022,"NRCC","0"
"8","C00377143","YE","18G","PAC","MEEKS VICTORY FUND","DC",7282021,36000,"C00706341","C12282035","2021",2022,"BUILD AMERICA PAC","0"
"9","C00760397","Q2","18G","PAC","MALLIOTAKIS VICTORY COMMITTEE","NY",6302022,17000,"C00731356","A-10287","2022",2022,"NO NONSENSE PAC","0"
"10","C00167130","M10","18G","COM","DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE","DC",9212022,200000,"C00042366","12-82-00489-04407","2022",2022,"PENNSYLVANIA DEMOCRATIC PARTY","0"
"11","C00479378","Q1","18G","CCM","FRIENDS OF AMATA","AS",1032022,5000,"C00393041","SA12.5024","2022",2022,"CONCERNED CITIZENS COMING TO A CONSENSUS ON CULTURAL AND COMMERCE CHALLENGES","0"
"12","C00005173","M2","18G","COM","DEMOCRATIC NATIONAL COMMITTEE","DC",1312022,2941,"C00010603","12-000042332","2022",2022,"STATE DEMOCRATIC EXECUTIVE COMMITTEE OF ALABAMA","0"
"13","C00040857","M5","18G","ORG","PHILIP A. HART DEMOCRATIC CLUB","MI",4092022,325,"C00224717","14882122","2022",2022,"OAKLAND COUNTY DEMOCRATIC PARTY","0"
"14","C00161786","M9","18G","COM","BENNET COLORADO VICTORY FUND","DC",8102022,40000,"C00793208","12230356","2022",2022,"FEDERAL: COLORADO DEMOCRATIC PARTY","0"
"15","C00467431","YE","18J","PAC","UNUM PAC","TN",7232021,5000,"C00177436","SA.1924073.3.58","2021",2022,"THE EYE OF THE TIGER POLITICAL ACTION COMMITTEE","0"
"16","C00025254","M7","18J","CCM","NANCY PELOSI FOR CONGRESS","DC",6012022,25000,"C00213512","5761264","2022",2022,"MINNESOTA DEMOCRATIC-FARMER-LABOR PARTY","0"
"17","C00166710","M10","18J","PAC","TREASURE STATE PAC","MT",9212022,2500,"C00433680","11C-000546802","2022",2022,"ARIZONA DEMOCRATIC PARTY","0"
"18","C00000935","M3","18K","PAC","AMERICAN PHARMACEUTICAL ASSOCIATION PAC","DC",2102021,5000,"C00193854","33609016","2021",2022,"DCCC","0"
"19","C00391797","M6","18K","PAC","NORFOLK SOUTHERN CORPORATION GOOD GOVERNMENT FUND","DC",5262022,5000,"C00009282","A3D38E9A0BCDC4E6993A","2022",2022,"DIRIGO PAC","0"
"20","C00158402","M4","18K","PAC","2020 GOLDEN STATE DELEGATION-FEDERAL","CA",3052021,5000,"C00710988","A-371873","2021",2022,"REPUBLICAN PARTY OF ORANGE COUNTY (FEDERAL)","0"
"21","C00271338","M5","18K","PAC","DEMOCRAT REPUBLICAN INDEPENDENT VOTER EDUCATION","DC",4062021,5000,"C00032979","VNJ2EQB60H9","2021",2022,"AMERIPAC: THE FUND FOR A GREATER AMERICA","0"
