11,senator 8,FIGHT BACK PAC,37.00,candidate,PAC,2009
12,senator 10,VAN ORDEN CRANE VICTORY FUND,800.00,candidate,PAC,2011
13,senator 1,IOWA VALUES,30.00,candidate,PAC,2013
14,FRIENDS OF CHRIS LEWIS,senator 2,232.00,PAC,candidate,2022
15,senator 2,KEYSTONE STRONG,40.11,candidate,PAC,2015
16,MARIA CABILDO FOR CONGRESS,senator 4,490.00,PAC,candidate,2010
17,KEYSTONE STRONG,senator 6,2040.00,PAC,candidate,2020
18,senator 6,KEYSTONE STRONG,121.00,candidate,PAC,2005
19,ASIAN AMERICANS AGAINST TRUMPISM,senator 6,311.00,PAC,candidate,2011
20,senator 8,ASIAN AMERICANS AGAINST TRUMPISM,2000.00,candidate,PAC,2020
