"","NAME","CAND_OFFICE_ST","TRANSACTION_AMT","CAND_ID","CAND_NAME","CAND_PTY_AFFILIATION","GEN_ELECTION","GEN_ELECTION_PERCENT","Issues"
"1","KENNEDY FOR SENATE 2006","MA",28759,"S6MA00015","KENNEDY, EDWARD MOORE SENATOR","DEM","W",69,"Civil Liberties"
"2","LIEBERMAN JOSEPH I","CT",5000,"S8CT00022","LIEBERMAN, JOSEPH I","DEM","W",49,"Big Business"
"3","STABENOW FOR US SENATE","MI",5000,"S8MI00281","STABENOW, DEBBIE","DEM","W",56,"Jobs"
"4","FRIENDS OF JOE LIEBERMAN","CT",5000,"S8CT00022","LIEBERMAN, JOSEPH I","DEM","W",49,"Civil Liberties"
"5","CANTWELL, MARIA","WA",5000,"S8WA00194","CANTWELL, MARIA","DEM","W",56,"Foreign Policy"
"6","FRIENDS OF KENT CONRAD","ND",5000,"S6ND00058","CONRAD, KENT","DEM","W",68,"Jobs"
"7","AKAKA, DANIEL K","HI",5000,"S0HI00084","AKAKA, DANIEL K","DEM","W",61,"Jobs"
"8","CARPER, THOMAS R","DE",5000,"S8DE00079","CARPER, THOMAS R","DEM","W",70,"Gun Rights"
"9","STABENOW, DEBBIE","MI",5000,"S8MI00281","STABENOW, DEBBIE","DEM","W",56,"Foreign Policy"
"10","HATCH ELECTION COMMITTEE INC.","UT",5000,"S6UT00063","HATCH, ORRIN G","REP","W",62,"Jobs"
"11","FRIENDS OF ROBERT C. BYRD","WV",5000,"S6WV00014","BYRD, ROBERT C","DEM","W",64,"Jobs"
"12","BOB CASEY FOR PENNSYLVANIA COMMITTEE","PA",5000,"S6PA00217","CASEY, ROBERT P JR","DEM","W",58,"Taxes"
"13","STABENOW FOR U.S. SENATE","MI",5000,"S8MI00281","STABENOW, DEBBIE","DEM","W",56,"Big Business"
"14","JON KYL FOR U S SENATE","AZ",5000,"S4AZ00030","KYL, JON","REP","W",52,"Jobs"
"15","FRIENDS OF GEORGE ALLEN","VA",5000,"S8VA00214","ALLEN, GEORGE","REP","L",49,"Taxes"
"16","MIKE DEWINE FOR U S SENATE","OH",5000,"S2OH00113","DEWINE, RICHARD MICHAEL","REP","L",44,"Civil Liberties"
"17","FRIENDS OF GEORGE ALLEN","VA",5000,"S8VA00214","ALLEN, GEORGE","REP","L",49,"Big Business"
"18","TALENT FOR SENATE COMMITTEE","MO",5000,"S2MO00353","TALENT, JAMES MATTHES","REP","L",47,"Civil Liberties"
"19","TALENT FOR SENATE","MO",5000,"S2MO00353","TALENT, JAMES MATTHES","REP","L",47,"Jobs"
"20","FRIENDS OF KENT CONRAD","ND",5000,"S6ND00058","CONRAD, KENT","DEM","W",68,"Abortion"
"21","AKAKA IN 2006","HI",5000,"S0HI00084","AKAKA, DANIEL K","DEM","W",61,"Big Business"
"22","STABENOW FOR SENATE","MI",5000,"S8MI00281","STABENOW, DEBBIE","DEM","W",56,"Foreign Policy"
"23","BOB CASEY FOR PENNSYLVANIA COMMITTEE","PA",5000,"S6PA00217","CASEY, ROBERT P JR","DEM","W",58,"Civil Liberties"
"24","FEINSTEIN FOR SENATE","CA",5000,"S0CA00199","FEINSTEIN, DIANNE","DEM","W",59,"Abortion"
"25","FEINSTEIN FOR SENATE","CA",5000,"S0CA00199","FEINSTEIN, DIANNE","DEM","W",59,"Civil Liberties"
"26","MENENDEZ FOR CONGRESS","NJ",5000,"S6NJ00289","MENENDEZ, ROBERT","DEM","W",53,"Jobs"
"27","KENNEDY FOR SENATE","MA",5000,"S6MA00015","KENNEDY, EDWARD MOORE SENATOR","DEM","W",69,"Gun Rights"
"28","MENENDEZ FOR CONGRESS","NJ",5000,"S6NJ00289","MENENDEZ, ROBERT","DEM","W",53,"Taxes"
"29","FRIENDS OF CONRAD BURNS - 2006","MT",5000,"S8MT00119","BURNS, CONRAD","REP","L",48,"Taxes"
"30","FRIENDS OF GEORGE ALLEN","VA",5000,"S8VA00214","ALLEN, GEORGE","REP","L",49,"Big Business"
"31","RE-ELECT HAROLD FORD","TN",5000,"S6TN00240","FORD, HAROLD E JR","DEM","L",47,"Civil Liberties"
"32","RE-ELECT HAROLD FORD","TN",5000,"S6TN00240","FORD, HAROLD E JR","DEM","L",47,"Jobs"
"33","ENSIGN FOR SENATE","NV",5000,"S8NV00073","ENSIGN, JOHN ERIC","REP","W",56,"Big Business"
"34","HAROLD FORD JR FOR CONGRESS COMMITTEE","TN",5000,"S6TN00240","FORD, HAROLD E JR","DEM","L",47,"Big Business"
"35","BILL NELSON FOR US SENATE CAMPAIGN","FL",5000,"S8FL00166","NELSON, BILL","DEM","W",60,"Foreign Policy"
"36","RE-ELECT HAROLD FORD JUNIOR","TN",5000,"S6TN00240","FORD, HAROLD E JR","DEM","L",47,"Big Business"
"37","TALENT FOR SENATE INC","MO",5000,"S2MO00353","TALENT, JAMES MATTHES","REP","L",47,"Gun Rights"
"38","FRIENDS OF KENT CONRAD","ND",5000,"S6ND00058","CONRAD, KENT","DEM","W",68,"Foreign Policy"
"39","SANTORUM 2006","PA",5000,"S4PA00063","SANTORUM, RICHARD J","REP","L",41,"Jobs"
