"1","C00075820","M3","15Z","Candidate Committee","TEXANS FOR JODEY ARRINGTON","TX",2022-02-11,12500,"C00588657","SA11C.23915400","2022",2022,"NRCC","Party - Qualified","0",NA
"2","C00040857","M4","18G","Organization","PHILIP A. HART DEMOCRATIC CLUB","MI",2021-03-10,196,"C00224717","12889798","2021",2022,"OAKLAND COUNTY DEMOCRATIC PARTY","Party - Qualified","0",NA
"3","C00104471","M9","18G","Party Organization","DEMOCRATIC NATIONAL COMMITTEE - DEMOCRATIC GRASSROOTS VICTORY FUND","DC",2021-08-25,12500,"C00658476","12-01-18012-35068","2021",2022,"NEW JERSEY DEMOCRATIC STATE COMMITTEE","Party - Qualified","0",NA
"4","C00686832","Q2","18G","Political Action Committee","LEAD THE WAY 2022","AZ",2021-06-29,13490,"C00782151","VVBYZSQ55F8","2021",2022,"WAY TO LEAD PAC","Hybrid PAC - Nonqualified","0",NA
"5","C00167346","M7","18G","Party Organization","DEMOCRATIC NATIONAL COMMITTEE","DC",2021-06-25,2500,"C00010603","11269696","2021",2022,"TENNESSEE DEMOCRATIC PARTY","Party - Qualified","0",NA
"6","C00012476","YE","18G","Political Action Committee","PLUMBERS LOCAL UNION NO. 24 POLITICAL ACTION COMMITTEE","NJ",2021-12-02,3560,"C00252056","SA12.21815","2021",2022,"UA UNION PLUMBERS & PIPEFITTERS VOTE! PAC (UNITED ASSOCIATION OF JOURNEYMEN AND APPRENTICES OF THE PLUMBING & PIPEFITTING INDUSTRY OF THE UNITED STATES AND CANADA)","PAC - Qualified","0",NA
"7","C00075820","M11","18G","Committee","RUTHERFORD VICTORY FUND","FL",2021-10-31,5000,"C00741413","SA12.23327773","2021",2022,"NRCC","Party - Qualified","0",NA
"8","C00377143","YE","18G","Political Action Committee","MEEKS VICTORY FUND","DC",2021-07-28,36000,"C00706341","C12282035","2021",2022,"BUILD AMERICA PAC","PAC - Qualified","0",NA
"9","C00760397","Q2","18G","Political Action Committee","MALLIOTAKIS VICTORY COMMITTEE","NY",2022-06-30,17000,"C00731356","A-10287","2022",2022,"NO NONSENSE PAC","PAC - Qualified","0",NA
"10","C00167130","M10","18G","Committee","DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE","DC",2022-09-21,200000,"C00042366","12-82-00489-04407","2022",2022,"PENNSYLVANIA DEMOCRATIC PARTY","Party - Qualified","0",NA
"11","C00479378","Q1","18G","Candidate Committee","FRIENDS OF AMATA","AS",2022-01-03,5000,"C00393041","SA12.5024","2022",2022,"CONCERNED CITIZENS COMING TO A CONSENSUS ON CULTURAL AND COMMERCE CHALLENGES","PAC - Nonqualified","0",NA
"12","C00005173","M2","18G","Committee","DEMOCRATIC NATIONAL COMMITTEE","DC",2022-01-31,2941,"C00010603","12-000042332","2022",2022,"STATE DEMOCRATIC EXECUTIVE COMMITTEE OF ALABAMA","Party - Qualified","0",NA
"13","C00040857","M5","18G","Organization","PHILIP A. HART DEMOCRATIC CLUB","MI",2022-04-09,325,"C00224717","14882122","2022",2022,"OAKLAND COUNTY DEMOCRATIC PARTY","Party - Qualified","0",NA
"14","C00161786","M9","18G","Committee","BENNET COLORADO VICTORY FUND","DC",2022-08-10,40000,"C00793208","12230356","2022",2022,"FEDERAL: COLORADO DEMOCRATIC PARTY","Party - Qualified","0",NA
"15","C00467431","YE","18J","Political Action Committee","UNUM PAC","TN",2021-07-23,5000,"C00177436","SA.1924073.3.58","2021",2022,"THE EYE OF THE TIGER POLITICAL ACTION COMMITTEE","PAC - Qualified","0",NA
"16","C00025254","M7","18J","Candidate Committee","NANCY PELOSI FOR CONGRESS","DC",2022-06-01,25000,"C00213512","5761264","2022",2022,"MINNESOTA DEMOCRATIC-FARMER-LABOR PARTY","Party - Qualified","0",NA
"17","C00166710","M10","18J","Political Action Committee","TREASURE STATE PAC","MT",2022-09-21,2500,"C00433680","11C-000546802","2022",2022,"ARIZONA DEMOCRATIC PARTY","Party - Qualified","0",NA
"18","C00000935","M3","18K","Political Action Committee","AMERICAN PHARMACEUTICAL ASSOCIATION PAC","DC",2021-02-10,5000,"C00193854","33609016","2021",2022,"DCCC","Party - Qualified","0",NA
"19","C00391797","M6","18K","Political Action Committee","NORFOLK SOUTHERN CORPORATION GOOD GOVERNMENT FUND","DC",2022-05-26,5000,"C00009282","A3D38E9A0BCDC4E6993A","2022",2022,"DIRIGO PAC","PAC - Qualified","0",NA
"20","C00158402","M4","18K","Political Action Committee","2020 GOLDEN STATE DELEGATION-FEDERAL","CA",2021-03-05,5000,"C00710988","A-371873","2021",2022,"REPUBLICAN PARTY OF ORANGE COUNTY (FEDERAL)","Party - Qualified","0",NA
"21","C00271338","M5","18K","Political Action Committee","DEMOCRAT REPUBLICAN INDEPENDENT VOTER EDUCATION","DC",2021-04-06,5000,"C00032979","VNJ2EQB60H9","2021",2022,"AMERIPAC: THE FUND FOR A GREATER AMERICA","PAC - Qualified","0",NA
"22","C00165159","M6","18K","Political Action Committee","NETJETS ASSOCIATION OF SHARED AIRCRAFT PILOTS PAC; NJASAP PAC","OH",2021-05-17,5000,"C00488262","SA11C.18033","2021",2022,"REPUBLICAN MAINSTREET PARTNERSHIP PAC","PAC - Qualified","0",NA
"23","C00237065","M10","18K","Political Action Committee","LEHIGH HANSON, INC. POLITICAL ACTION COMMITTEE","TX",2021-09-09,5000,"C00493270","16021250","2021",2022,"PORTLAND CEMENT ASSOCIATION INC. (CEMENT PAC)","PAC - Qualified","0",NA
"24","C00344648","MY","18K","Political Action Committee","FEDEX CORPORATION POLITICAL ACTION COMMITTEE (FEDEXPAC)","TN",2021-04-12,2500,"C00068692","A035A1E5DC3A24040904","2021",2022,"RELY ON YOUR BELIEFS FUND","PAC - Qualified","0",NA
"25","C00438291","MY","18K","Political Action Committee","NEXTERA ENERGY PAC","FL",2021-04-29,5000,"C00064774","1619716313462","2021",2022,"DENALI LEADERSHIP PAC","PAC - Qualified","0",NA
"26","C00330720","MY","18K","Political Action Committee","DOMINION ENERGY, INC. POLITICAL ACTION COMMITTEE - DOMINION PAC","VA",2021-03-23,5000,"C00108209","SA11C.10724","2021",2022,"TRUST PAC TEAM REPUBLICANS FOR UTILIZING SENSIBLE TACTICS","PAC - Qualified","0",NA
"27","C00539601","MY","18K","Political Action Committee","MICROSOFT CORPORATION POLITICAL ACTION COMMITTEE","WA",2021-06-23,5000,"C00227546","VSHBTS95CF5","2021",2022,"PINEAPPLE PAC","PAC - Qualified","0",NA
"28","C00392738","YE","18K","Political Action Committee","FEDERATION OF AMERICAN HOSPITALS PAC","DC",2021-12-31,5000,"C00002261","VPFBKT2ETM1","2021",2022,"HOOPS PAC","PAC - Qualified","0",NA
"29","C00075820","M8","18K","Political Action Committee","AMERICAN OPTOMETRIC ASSOCIATION POLITICAL ACTION COMMITTEE","VA",2021-07-30,15000,"C00024968","SA11C.22735434","2021",2022,"NRCC","Party - Qualified","0",NA
"30","C00075820","M9","18K","Political Action Committee","BUCKEYE LIBERTY PAC","WI",2021-08-12,36500,"C00693796","SA11C.22787405","2021",2022,"NRCC","Party - Qualified","0",NA
"31","C00365536","M10","18K","Political Action Committee","DEPOSITORY TRUST AND CLEARING CORPORATION PAC - DTCC PAC; THE","DC",2021-09-30,2500,"C00497917","VTEJX11SZ483","2021",2022,"CHC BOLD PAC","PAC - Qualified","0",NA
"32","C00156810","M10","18K","Political Action Committee","UNITED SERVICES AUTOMOBILE ASSOCIATION EMPLOYEE PAC - USAA EMPLOYEE PAC","TX",2021-09-15,2500,"C00164145","SA11C.7865","2021",2022,"REPUBLICAN PARTY OF KENTUCKY","Party - Qualified","0",NA
"33","C00540187","M11","18K","Political Action Committee","DUKE ENERGY CORPORATION PAC","NC",2021-10-15,5000,"C00083535","SA11C.34769","2021",2022,"INNOVATION POLITICAL ACTION COMMITTEE","PAC - Qualified","0",NA
"34","C00326439","M12","18K","Political Action Committee","INTERNATIONAL FRANCHISE ASSOCIATION FRANCHISING POLITICAL ACTION COMMITTEE INC","DC",2021-11-17,5000,"C00084491","A9363F32B984F439FB2F","2021",2022,"HOUSE CONSERVATIVES FUND","PAC - Qualified","0",NA
"35","C00550970","YE","18K","Political Action Committee","CITIGROUP INC. POLITICAL ACTION COMMITTEE - FEDERAL (CITIGROUP PAC-FEDERAL)","DC",2021-09-02,2500,"C00008474","VSH0PSKDGY2","2021",2022,"EQUALITY PAC","PAC - Qualified","0",NA
"36","C00516724","YE","18K","Political Action Committee","REYNOLDS AMERICAN INC. POLITICAL ACTION COMMITTEE; RAI PAC","NC",2021-09-30,1000,"C00042002","SA11C.4677","2021",2022,"JOBS, ENERGY AND OUR FOUNDING FATHERS PAC-JEFF PAC","PAC - Nonqualified","0",NA
"37","C00403592","YE","18K","Political Action Committee","AFLAC POLITICAL ACTION COMMITTEE (AFLAC PAC)","GA",2021-07-19,5000,"C00034157","VR0C3NJBNP1","2021",2022,"NARRAGANSETT BAY PAC","PAC - Qualified","0",NA
