"","NAME","CAND_OFFICE_ST","TRANSACTION_AMT","CAND_ID","CAND_NAME","CAND_PTY_AFFILIATION","GEN_ELECTION","GEN_ELECTION_PERCENT","Issues"
"1","WHITEHOUSE '06","RI",2000,"S6RI00221","WHITEHOUSE, SHELDON II","DEM","W",53,"Big Business"
"2","WHITEHOUSE '06","RI",2000,"S6RI00221","WHITEHOUSE, SHELDON II","DEM","W",53,"Civil Liberties"
"3","FRIENDS OF HILLARY","NY",2100,"S0NY00188","CLINTON, HILLARY RODHAM","DEM","W",66,"Big Business"
"4","BOB CASEY FOR PENNSYLVANIA COMMITTEE","PA",2000,"S6PA00217","CASEY, ROBERT P JR","DEM","W",58,"Jobs"
"5","FRIENDS OF ROBERT C. BYRD","WV",2000,"S6WV00014","BYRD, ROBERT C","DEM","W",64,"Foreign Policy"
"6","FRIENDS OF HILLARY","NY",2100,"S0NY00188","CLINTON, HILLARY RODHAM","DEM","W",66,"Abortion"
"7","MENENDEZ FOR CONGRESS","NJ",2000,"S6NJ00289","MENENDEZ, ROBERT","DEM","W",53,"Civil Liberties"
"8","MENENDEZ FOR CONGRESS","NJ",2000,"S6NJ00289","MENENDEZ, ROBERT","DEM","W",53,"Jobs"
"9","MENENDEZ FOR CONGRESS","NJ",2000,"S6NJ00289","MENENDEZ, ROBERT","DEM","W",53,"Foreign Policy"
"10","MENENDEZ FOR CONGRESS","NJ",2000,"S6NJ00289","MENENDEZ, ROBERT","DEM","W",53,"Taxes"
"11","MCCASKILL FOR MISSOURI","MO",2000,"S6MO00305","MCCASKILL, CLAIRE","DEM","W",49,"Gun Rights"
"12","WHITEHOUSE '06","RI",2000,"S6RI00221","WHITEHOUSE, SHELDON II","DEM","W",53,"Big Business"
"13","RE-ELECT HAROLD FORD, JR.","TN",1500,"S6TN00240","FORD, HAROLD E JR","DEM","L",47,"Foreign Policy"
"14","BOB CASEY FOR PENNSYLVANIA COMMITTEE","PA",2000,"S6PA00217","CASEY, ROBERT P JR","DEM","W",58,"Jobs"
"15","FRIENDS OF JOE LIEBERMAN","CT",2000,"S8CT00022","LIEBERMAN, JOSEPH I","DEM","W",49,"Civil Liberties"
"16","STABENOW FOR US SENATE","MI",2000,"S8MI00281","STABENOW, DEBBIE","DEM","W",56,"Jobs"
"17","MCCASKILL FOR SENATE","MO",2000,"S6MO00305","MCCASKILL, CLAIRE","DEM","W",49,"Abortion"
"18","MCCASKILL FOR SENATE","MO",2000,"S6MO00305","MCCASKILL, CLAIRE","DEM","W",49,"Taxes"
"19","PEDERSON 2006","AZ",2000,"S6AZ00142","PEDERSON, JIM","DEM","L",43,"Gun Rights"
"20","CANTWELL 2006","WA",2000,"S8WA00194","CANTWELL, MARIA","DEM","W",56,"Taxes"
"21","FRIENDS OF ROBERT C. BYRD COMMITTE","WV",2000,"S6WV00014","BYRD, ROBERT C","DEM","W",64,"Jobs"
"22","BOB CASEY FOR PENNSYLVANIA CMTE","PA",2000,"S6PA00217","CASEY, ROBERT P JR","DEM","W",58,"Civil Liberties"
"23","GEORGE ALLEN FOR US SENATE","VA",2000,"S8VA00214","ALLEN, GEORGE","REP","L",49,"Abortion"
"24","BEN CARDIN FOR U.S. SENATE","MD",2000,"S6MD03177","CARDIN, BENJAMIN L","DEM","W",54,"Taxes"
